Bahawalpur,Bahawalpur Airport,BHV,29.34989,71.711227
Baku,Heydar Aliyev International Airport,GYD,40.4650578,50.0523162
Balikpapan,Sultan Aji Muhammad Sulaiman Airport,BPN,-1.2658151,116.8977258
Baltimore,Baltimore-Washington International Thurgood Marshall Airport,BWI,39.1774042,-76.6683922
Bamako,Senou International Airport,BKO,null,
Bandar Abbas,Bandar Abbas International Airport,BND,27.2094978,56.3687672
Bandar Seri Begawan,Brunei International Airport,BWN,4.9439279,114.9316671
Bandung,Husein Sastranegara International Airport,BDO,-6.9038355,107.5801958
Bangalore,Kempegowda International Airport,BLR,13.1986348,77.7065928
Bangkok,Don Mueang International Airport,DMK,13.9132602,100.6041987
Bangkok,Suvarnabhumi Airport,BKK,13.6899991,100.7501124
Bangor,Bangor International Airport,BGR,44.8069263,-68.823274
Bangui,M'Poko International Airport,BGF,4.396111,18.520279
Banja Luka,Banja Luka International Airport,BNX,44.9336292,17.30379
Banjarmasin,Syamsudin Noor Airport,BDJ,-3.4379721,114.7536
Banjul,Banjul International Airport,BJL,13.3439094,-16.6522851
Bannu,Bannu Airport,BNP,32.9729775,70.5194575
Barcelona,Barcelona Airport,BCN,41.297445,2.0832941
Bari,Palese Airport,BRI,41.137508,16.765202
Barnaul,Barnaul Airport,BAX,53.3612644,83.547385
Barranquilla,Ernesto Cortissoz International Airport,BAQ,10.8866016,-74.776425
Basel-Mulhouse-Freiburg,EuroAirport Basel–Mulhouse–Freiburg,BSL,47.5981804,7.5254958
Basra,Basra International Airport,BSR,30.5527363,47.6682884
Bastia,Poretta Airport,BIA,42.5527737,9.4825088
Batna City,Batna Airport,BLJ,35.7572864,6.3095251
Batumi,Batumi International Airport,BUS,41.6067888,41.6108509
Beauvais,Beauvais-Tillé Airport,BVA,49.4544677,2.1115111
Beihai,Beihai Fucheng Airport,BHY,21.540486,109.293386
Beijing,Beijing Capital International Airport,PEK,40.0798573,116.6031121
Beijing,Beijing Nanyuan Airport,NAY,39.7825,116.3877778
Beira,Beira Airport,BEW,-19.7987957,34.9020493
Beirut,Beirut Rafic Hariri International Airport,BEY,33.8193756,35.4912043
Beja,Beja Airport,BYJ,38.0636678,-7.9393034
Bejaia,Soummam Airport,BJA,36.7153777,5.0712886
Belfast,Belfast International Airport,BFS,54.6557252,-6.2193227
Belfast,George Best Belfast City Airport,BHD,54.6176164,-5.8718304
Belgorod,Belgorod International Airport,EGO,50.6451114,36.5705939
Belgrade,Belgrade Nikola Tesla Airport,BEG,44.820498,20.291691
