ID,Name,Lat,Lon,Country
3945,Quellón,-43.09960569380,-73.59998844570,131
3946,Constitución,-35.32958901090,-72.41998295260,131
3947,Qasigiannguit,68.81927014410,-51.17851853820,142
3948,Impfondo,1.64037660614,18.04002518580,72
3949,Sembe,1.64037660614,14.58002966170,72
3950,Moloundou,2.03373760875,15.21668330760,72
3951,Kerkira,39.61542299300,19.91474279650,124
3952,Tripoli,37.50914328920,22.37939855820,124
3953,Sparti,37.07371767070,22.42967972690,124
3954,Agrinio,38.62176271470,21.40772660190,124
3955,Pirgos,37.68373211570,21.44999792350,124
3956,Larissa,39.63040915840,22.42001623400,124
3957,Ioanina,39.66790041000,20.85086136750,124
3958,Mitilini,39.11041505840,26.55464758170,124
3959,Hios,38.36810894680,26.13581009800,124
3960,Chalkida,38.46399456690,23.61239823270,124
3961,Sitia,35.20042116190,26.09855139030,124
3962,Katerini,40.27233380030,22.50249182000,124
3963,Seres,41.08597922670,23.54971472040,124
3964,Xanthi,41.14178977360,24.88358679070,124
3965,Ermoupoli,37.45041302390,24.93329951850,124
3966,Kos,36.89372865710,27.28881465530,124
3967,Rodos,36.44122397770,28.22250443390,124
3968,Poti,42.15565553700,41.67160599650,89
3969,Rustavi,41.57036826480,45.05000443400,89
3970,Zakho,37.14454022120,42.68720292030,147
3971,Tall Afar,36.37598248190,42.44974971390,147
3972,Tikrit,34.59704713850,43.67696162800,147
3973,Haifa,32.82041139630,34.98002477900,42
3974,Nazareth,32.70398439440,35.29550939810,42
3975,Karbala,32.61492006330,44.02448563520,147
3976,Debre Birhan,9.68037680963,39.53003128940,167
3977,Bati,11.18374757790,40.01656489950,167
3978,Adigrat,14.28043194470,39.46998327510,167
3979,Aksum,14.13041526180,38.72000321330,167
3980,Yirga Alem,6.75042645154,38.40999629590,167
3981,Hosaina,7.55037762342,37.85003047560,167
3982,Dila,6.41042136528,38.31000239950,167
3983,Giyon,8.53042116183,37.97002315140,167
3984,Hagere Hiywet,8.98039369602,37.85003047560,167
3985,Nekemte,9.09046449680,36.53000768920,167
3986,Asela,7.95040488579,39.13992590210,167
3987,Shashemene,7.20039898572,38.59003698600,167
3988,Dembi Dolo,8.53372845350,34.79998408890,167
3989,Gimbi,9.16702313124,35.83330602900,167
3990,Asosa,10.06699403780,34.53333369830,167
3991,Jijiga,9.35042278944,42.78998734410,167
3992,Stralsund,54.30041811030,13.10001664090,111
3993,Rostock,54.07038047190,12.14999710960,111
3994,Sodankylä,67.41705934570,26.60001948930,24
3995,Jyväskylä,62.26034568190,25.74999385450,24
3996,Kuopio,62.89428631500,27.69493973670,24
3997,Lappeenranta,61.06705934560,28.18333369820,24
3998,Porvoo,60.40035585440,25.66601965200,24
3999,Oktyabrsk,49.47306418770,57.44490677780,137
4000,Algha,49.90316713370,57.33499100630,137
4001,Bayghanin,48.69169069320,55.87399491250,137
4002,Embi,48.82677288730,58.14419225960,137
4003,Zhetiqara,52.19297568670,61.23992061240,137
4004,Komsomolets,53.75055503250,62.05020707080,137
4005,Tobol,52.69800945950,62.57492956430,137
4006,Qusmuryn,52.45799826980,64.59997391650,137
4007,Shieli,44.16700563460,66.75002355840,137
4008,Makhambet,47.67136537590,51.57978674200,137
4009,Chapaev,50.19149578770,51.14492956420,137
4010,Zhanibek,49.42764060370,46.87723140340,137
4011,Aqsay,51.17143597320,53.03489172240,137
4012,Esil,51.95696942050,66.37748815800,137
4013,Derzhavinsk,51.10206036290,66.30746659230,137
4014,Zhaltyr,51.63241558750,69.83278112680,137
4015,Makinsk,52.64036439930,70.40995519910,137
4016,Aqsu,52.45019512850,71.95973140350,137
4017,Zholymbet,51.75023785310,71.70987585340,137
4018,Erymentau,51.63032269200,73.10493281950,137
4019,Saryshaghan,46.11954795230,73.61911332080,137
4020,Qarazhal,48.02527142240,70.79990555710,137
4021,Atasu,48.69032126780,71.64993119190,137
4022,Kishkenekol,53.63676352860,72.34141353240,137
4023,Tayynsha,53.84812013660,69.76379308970,137
4024,Bulaevo,54.90531658850,70.43997920620,137
4025,Ertis,53.34530845040,75.44990596410,137
4026,Kachiry,53.08036338210,76.08997025440,137
4027,Zaysan,47.47522747710,84.85982254940,137
4028,Zyryanovsk,49.74526979480,84.25484655650,137
4029,Ridder,50.35538759270,83.51494339900,137
